term,type,B_D,W_D,estimate,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,std.error,Coefficient,LCI,UCI,variable,exposure
mvpa_recommended,Conditional,1.1745420023837998,9.724111015789612,-5.141367374645151,1106,11.016107218411792,0.11728246439566234,27.645797923980663,654.2991309218601,391.4669677267885,-11.658645757391792,1.3759110081014887,3.319052156627219,"-5.14 	(-11.66, 1.38)",-11.658645757391792,1.3759110081014887,TC,Physical Activity
steps1000_mean,Conditional,0.08225461082314287,0.16298197180098947,0.5522358207224587,1106,0.25346204370644665,0.356976810343441,12.534366476686298,70.62565685344875,64.23512188719047,-0.45170746168055786,1.556179103125475,0.5034501402387794,"0.55 	(-0.45, 1.56)",-0.45170746168055786,1.556179103125475,TC,Physical Activity
mvpa_recommended,Conditional,32.684997835645525,60.32967316280461,0.0808665005188249,1106,96.2831707820147,0.37341414213091173,12.273794263435743,64.54475935550404,59.036321144777475,-19.518467780991735,19.680200782029377,9.812398829135244,"0.08 	(-19.52, 19.68)",-19.518467780991735,19.680200782029377,TG,Physical Activity
steps1000_mean,Conditional,0.5963345750386224,1.0275882696116654,-2.697070296821757,1106,1.68355630215415,0.3896323703003922,12.040598537172517,59.28331062586536,54.48948272509535,-5.2931408098268555,-0.10099978381665942,1.2975192877773147,"-2.70 	(-5.29, -0.10)",-5.2931408098268555,-0.10099978381665942,TG,Physical Activity
mvpa_recommended,Conditional,0.16957186986840803,0.43354878268433905,-1.373779802110344,1106,0.6200778395395878,0.3008155508246319,13.66994496953575,99.45850851844928,88.10617069711672,-2.9361627627785594,0.1886031585578707,0.7874502140069478,"-1.37 	(-2.94, 0.19)",-2.9361627627785594,0.1886031585578707,HDLc,Physical Activity
steps1000_mean,Conditional,0.004007518107787396,0.009139986040059951,0.3427120127323939,1106,0.013548255958626087,0.3253754529017013,13.118969323366969,85.01057196352626,76.3014857164228,0.11128405684572021,0.5741399686190676,0.1163969757280063,"0.34 	(0.11, 0.57)",0.11128405684572021,0.5741399686190676,HDLc,Physical Activity
mvpa_recommended,Conditional,2.584478541803481,7.59306193710443,-2.8008248029650273,1106,10.43598833308826,0.2724156357064975,14.449565225059136,121.27700060600327,105.36832696141583,-9.196260618200412,3.5946110122703576,3.2304780347633164,"-2.80 	(-9.20, 3.59)",-9.196260618200412,3.5946110122703576,LDLc,Physical Activity
steps1000_mean,Conditional,0.08121074760775453,0.13289046920613093,0.844552348411264,1106,0.22222229157466092,0.40199307520198446,11.876856260377082,55.69360952448387,51.36089077856698,-0.09989918677372978,1.7890038835962576,0.4714045943503955,"0.84 	(-0.10, 1.79)",-0.09989918677372978,1.7890038835962576,LDLc,Physical Activity
mvpa_recommended,Conditional,0.6351032311063435,3.965776177966519,-4.502055216822812,1106,4.664389732183497,0.14977598235341763,22.118127820820312,401.19744259630437,281.0649911520998,-8.747836625785764,-0.2562738078598592,2.159719827242297,"-4.50 	(-8.75, -0.26)",-8.747836625785764,-0.2562738078598592,ApoA1,Physical Activity
steps1000_mean,Conditional,0.028288874968388295,0.0778937624078884,0.9166848183016686,1106,0.10901152487311552,0.2854538774817323,14.069684967180853,110.45124514259278,96.88593075567063,0.2623972141952242,1.5709724224081127,0.33016893384011087,"0.92 	(0.26, 1.57)",0.2623972141952242,1.5709724224081127,ApoA1,Physical Activity
