term,type,B_D,W_D,estimate,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,std.error,Coefficient,LCI,UCI,variable
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Hmvpa",Conditional,8.01437806129344e-4,1.5187601534557296,-0.8760180582822803,788,1.5196417350424718,5.801246217534553e-4,270223.5055203955,26742371.20836279,785.5285282444264,-3.2921392629819364,1.5401031464173751,1.2327374964048396,"-0.88 	(-3.29, 1.54)",-3.2921392629819364,1.5401031464173751,adsbp
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Lmvpa",Conditional,3.8222398402154036e-4,1.992928973756544,0.7460221569726875,788,1.9933494201389679,2.109245765824552e-4,2030651.6824752474,202296392.19191444,785.8387443439198,-2.0211731386919256,3.5132174526373,1.411860269339345,"0.75 	(-2.02, 3.51)",-2.0211731386919256,3.5132174526373,adsbp
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Hmvpa",Conditional,4.598262594931234e-4,0.5813471449667406,0.08392802294431388,788,0.5818529538521829,8.693070682097701e-4,120966.5449929711,11909570.175701706,785.2725220375435,-1.4111186707211691,1.5789747166097965,0.7627928643165083,"0.08 	(-1.41, 1.58)",-1.4111186707211691,1.5789747166097965,addbp
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Lmvpa",Conditional,3.364493866983903e-4,0.7467221619167451,0.7381622305678553,788,0.7470922562421134,4.953796834005616e-4,370024.1347478057,36674662.5854533,785.6013845590826,-0.9559228697279728,2.4322473308636834,0.8643449868207216,"0.74 	(-0.96, 2.43)",-0.9559228697279728,2.4322473308636834,addbp
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Hmvpa",Conditional,2.0693880987388526e-5,0.007894139132833461,-0.3011839783391065,788,0.007916902401919588,0.0028752746883185065,11457.10288583922,1088638.8456659762,783.1837573797776,-0.4755758422277925,-0.12679211445042055,0.08897697680815857,"-0.30 	(-0.48, -0.13)",-0.4755758422277925,-0.12679211445042055,pwv
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Lmvpa",Conditional,1.5147699306366785e-5,0.011357263159045781,-0.09092324771516008,788,0.011373925628282785,0.0014649708272726886,43048.87777864671,4193576.3710452844,784.7092435240179,-0.29995073909378817,0.11810424366346797,0.10664860818727447,"-0.09 	(-0.30, 0.12)",-0.29995073909378817,0.11810424366346797,pwv
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Hmvpa",Conditional,0.05630238721660863,0.5245749842514562,1.0072714380318493,789,0.5865076101897257,0.10559560500542405,30.70298389822294,807.1436303351094,375.9982163076288,-0.4959973543301057,2.5105402303938043,0.7658378484964854,"1.01 	(-0.50, 2.51)",-0.4959973543301057,2.5105402303938043,drop6to7
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Lmvpa",Conditional,0.11089858616419307,0.5443122717597481,0.24539408501560372,789,0.6663007165403605,0.18308316613257472,18.8234463568141,268.50085991508877,189.4015812530006,-1.361714557296996,1.8525027273282035,0.8162724523958655,"0.25 	(-1.36, 1.85)",-1.361714557296996,1.8525027273282035,drop6to7
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Hmvpa",Conditional,0.020900324665170444,0.083723230125867,-0.28800632857668046,789,0.10671358725755448,0.2154398303207632,16.748557628288296,193.90567189716623,147.5644819734339,-0.9322898313439874,0.3562771741906264,0.3266704566647472,"-0.29 	(-0.93, 0.36)",-0.9322898313439874,0.3562771741906264,hsCRP
"relevel(exposure_group, ref = ""Lsteps_Lmvpa"")Hsteps_Lmvpa",Conditional,0.016212646843024883,0.10779050644699896,-0.23618569091449726,789,0.12562441797432633,0.14196214251095726,23.16727400570281,446.57809742070236,268.80909996094954,-0.9327540389222262,0.4603826570932317,0.35443535090948014,"-0.24 	(-0.93, 0.46)",-0.9327540389222262,0.4603826570932317,hsCRP
